date,first_male,first_female,finishers,helpers,last_updated
2025-05-24,Rick RABISER,Bettina PICHLER,26,5,2026-04-11 20:55:02.418300
2025-05-31,Gernot SEILINGER,Veronika JIRKOVSKA,29,5,2026-04-11 20:55:02.418300
2025-06-07,Andreas AISTLEITNER,Vesna KOLIC,18,8,2026-04-11 20:55:02.418300
2025-06-14,Tobias PIEBER,Jo KEMP,20,5,2026-04-11 20:55:02.418300
2025-06-21,Ben JECOCK,Natalie THOMPSON,25,9,2026-04-11 20:55:02.418300
2025-06-28,George LOXTON,Sophie VALLIS,49,8,2026-04-11 20:55:02.418300
2025-07-05,Rick RABISER,Margot WURZINGER,25,5,2026-04-11 20:55:02.418300
2025-07-12,Julian GRAD,Margot WURZINGER,40,6,2026-04-11 20:55:02.418300
2025-07-19,Andreas KONRAD,Clare HIGGINS,42,9,2026-04-11 20:55:02.418300
2025-07-26,Rick RABISER,Bettina PICHLER,33,8,2026-04-11 20:55:02.418300
2025-08-02,Theo CRAZZOLARA,Kai KUNICKI,37,5,2026-04-11 20:55:02.418300
2025-08-09,Adam Tango HOLLAND,Bettina PICHLER,53,10,2026-04-11 20:55:02.418300
2025-08-16,Lukas GUPFINGER,Margot WURZINGER,41,5,2026-04-11 20:55:02.418300
2025-08-23,Ludwig SCHMID,Evelyn LEHNER,38,6,2026-04-11 20:55:02.418300
2025-08-30,Will BROWN,Emma Anne ROBINSON,37,6,2026-04-11 20:55:02.418300
2025-09-06,Markus RANSMAYR,Anna LIPP,32,7,2026-04-11 20:55:02.418300
2025-09-13,Theo CRAZZOLARA,Bettina PICHLER,27,5,2026-04-11 20:55:02.418300
2025-09-20,Timothy WELSH,Bettina PICHLER,31,7,2026-04-11 20:55:02.418300
2025-09-27,Philipp PANHOLZER,Margot WURZINGER,32,6,2026-04-11 20:55:02.418300
2025-10-04,Bernhard FÜHRICHT,Isabella HINTRINGER,24,9,2026-04-11 20:55:02.418300
2025-10-11,Alexander RIPOTA,Anna LIPP,27,6,2026-04-11 20:55:02.418300
2025-10-18,Klaus DERNDORFER,Bettina PICHLER,39,6,2026-04-11 20:55:02.418300
2025-10-25,Joachim PELZEDER,Julia BARLOW,35,4,2026-04-11 20:55:02.418300
2025-11-01,Christoph MITASCH,Bettina PICHLER,34,7,2026-04-11 20:55:02.418300
2025-11-08,Theo CRAZZOLARA,Miroslava BUKOWIECKI,26,6,2026-04-11 20:55:02.418300
2025-11-15,Gernot SEILINGER,Anna LIPP,28,9,2026-04-11 20:55:02.418300
2025-11-22,Theo CRAZZOLARA,Christiane ALTENDORFER,31,5,2026-04-11 20:55:02.418300
